edad,educ,wage
48,3,2516.2783930828286
64,13,3358.835309678848
32,3,4859.540549074178
78,0,2925.9017308336265
73,11,3310.3753695990017
53,5,2245.6770244033687
73,5,1842.1931538521833
55,5,2763.5077955442384
62,14,2343.9876417456717
64,7,2925.1272868225524
22,4,2399.137611952816
24,9,2247.268455703463
69,4,1737.0373922872475
24,7,3386.061502989851
24,7,2998.866891612206
56,9,2354.6970692725436
30,3,2316.1468875263113
45,6,3051.1554636403844
45,1,2648.952916366523
31,8,3533.9489661580446
75,10,1531.719247300587
18,9,2941.9633210376896
54,6,1940.3774219478714
31,10,2318.4779830759308
46,4,2517.478640581367
22,7,3140.8696700080054
45,3,3129.74086729304
72,9,1725.7950660761494
30,14,2722.940865210023
36,5,2207.853023439914
63,14,1841.8096822447428
34,10,2147.0502525084876
55,14,3164.8762550195297
54,9,2422.8413035257463
54,14,2240.420258620084
19,11,2500.570028154836
38,6,1952.8931833723823
58,1,1671.1097266299134
79,14,1371.9481808314072
71,12,2554.896059371556
30,14,2020.6560917014049
32,12,2846.789278092105
33,13,3297.699050978834
79,4,1853.4901168201432
46,12,2099.7645133175847
36,11,3188.1846062528393
31,10,2000.1244725960967
42,1,2717.871420989427
27,8,3556.2210345035705
69,1,3426.7524938191664
35,12,1819.7287155687172
45,7,2138.9583718614176
32,13,1942.2358098044097
60,3,2581.042047422814
65,3,3195.0749663846136
18,6,2091.174097688964
62,12,2679.6971169244084
67,1,1503.5246504152792
52,0,2536.4849181617756
47,9,2407.631408223839
54,9,2757.332753602888
54,10,2972.8408719271433
49,1,2403.536564327059
42,14,2816.330767804771
23,6,2153.6056044546913
78,4,1739.84694830535
35,6,1946.4715182774253
37,2,2198.1651236883304
68,10,1897.1969195359382
64,1,2812.2330030887356
40,13,2555.6621104380115
57,12,1910.4894488734299
43,14,1608.1269882574597
69,3,1803.2881909341886
36,4,1472.4373806119236
52,9,3246.860499997707
47,0,2249.6365084354215
22,12,3076.3590322683012
57,8,3142.340415295179
56,5,3057.0866398702856
72,10,1483.7437834333455
34,12,2133.775455818647
55,13,2304.404869078351
71,3,1958.1055014477765
78,8,2944.3343288994784
59,3,1860.6178551310732
68,5,2098.235022678954
20,7,3062.017602194887
63,5,3170.4698727410264
42,14,2290.4527919055536
53,8,2696.339674110843
70,9,2569.6447894768226
43,8,2218.9475838464123
72,0,2813.3772473314884
37,11,2396.1110331926334
38,0,2298.379910147853
38,2,3478.5301444925553
50,0,2206.6337871791557
37,7,2607.7039939669503
79,8,2117.853248010829
67,2,2774.976192664138
41,1,2407.5327387076854
70,3,2039.7688577989338
72,4,2262.27197877378
59,2,1252.3797757937175
65,6,2613.4589771055353
73,3,2115.620107342359
50,11,1163.0316291184765
42,13,2833.574341049526
73,6,2419.2758783424206
28,0,2484.855372324111
32,13,2433.7095349273163
72,0,2186.219523867936
39,14,2309.4872180025377
59,6,2702.0989279680175
54,3,2879.049251918661
74,5,972.6751569922519
71,11,3007.303290567408
33,10,1612.0107310272085
60,8,3078.105194754237
25,11,3669.5174282015705
76,6,3637.687447165514
34,6,2330.03459826677
50,2,1910.879705400409
26,6,3014.0472446424155
57,12,2808.800217917566
19,1,2510.8512044284084
28,12,2361.9141382842663
42,5,3196.6704969565894
71,14,2806.2813124475606
62,1,1962.9266615078905
68,4,3023.897527862744
67,4,1528.5778964587435
26,13,2316.978117381222
42,11,1790.3748130508802
72,12,3339.784065802489
31,1,1565.9332379277175
47,7,2899.839439268984
64,7,1764.5821525438091
34,11,2003.0254249942745
22,12,1766.5118413342948
68,13,1900.845951166828
71,14,3144.3878822583497
28,11,2644.0856054946503
43,4,2693.2283898127926
66,1,3071.5515343723728
53,7,2655.4808390733738
20,11,2171.132434858028
51,4,4240.943609026735
61,4,3094.365484463544
61,11,2782.574206072985
51,10,1166.3876931915524
69,10,3372.026051056092
26,13,3004.4742936553594
69,11,3034.039673707811
67,11,2528.6066181535202
69,1,2708.5177580846575
20,7,2371.9453782922155
48,5,2206.450007015844
73,11,2625.5689810497065
71,11,2238.510297437841
36,7,3569.49384100633
20,12,2422.150538984478
24,13,2673.8046192122742
79,6,2555.415711025344
73,0,2577.285698543644
60,4,2318.8103862825324
39,9,2609.455720484068
42,11,2898.260850745008
73,6,3897.477774552157
26,14,1733.0356307106053
33,14,3157.2209571367794
42,14,1547.8450530791529
59,12,2742.8864672080654
59,12,1007.1710393314843
53,8,1999.1044856449616
76,3,3051.138569028485
66,6,1064.9042237967428
78,4,3075.6355599598805
55,14,1620.0314657912268
53,5,2939.694861609404
45,12,2082.464559836437
48,6,2818.1561390504326
47,14,2700.2681614023127
23,0,2069.534510218862
57,9,3073.1282825795524
32,6,2752.339522067211
69,10,2667.4914460705454
64,6,2270.213857377065
32,11,2820.143009306525
49,8,2644.1064812467703
54,10,2544.1279842320773
31,2,2702.7754554679486
68,5,2402.145017189935
47,8,2253.1659400831945
32,11,2642.2390149746766
51,9,3248.20729284958
77,2,2126.10685244372
71,13,1782.1729733337547
53,9,2996.717268993414
69,4,2091.305104240268
71,1,2886.6718061573933
48,9,2248.4277094196473
71,12,2017.2767175285983
25,0,3086.829017902387
31,8,2242.3375560832983
70,0,2939.99819490439
60,2,3212.025131147192
24,0,1460.6645457534173
52,4,3162.8950385713297
35,7,2749.2383983981804
20,3,2803.6111151759637
49,14,2726.126114146532
64,14,609.0766779180499
31,1,2915.1152950910478
61,1,3004.066768682913
73,14,1267.9680186390467
22,2,2854.179425685642
67,13,1845.8146805240594
51,9,2227.840568916641
77,11,2333.2861867344122
78,0,2422.1194399397323
28,8,2422.63676841524
77,8,3595.0466155208487
22,1,2990.979048001222
48,5,2774.6437944971194
65,3,1967.1936133012764
42,9,2857.8682913630187
45,0,1927.1049593628654
41,13,1760.4778112973622
70,7,2252.3550985534544
79,5,2645.202957094245
78,8,3082.1164514829534
62,5,3075.0287922092048
22,6,1611.339453028656
61,6,1983.5660873763547
49,14,3235.0248026109284
46,1,2414.123013274812
77,14,2918.5470998767796
71,2,2783.8879382095765
29,8,4124.807498971831
26,8,2150.84159087566
63,1,2034.7752158911044
37,12,2618.736573962985
22,3,2440.896182807458
32,14,2198.23039021976
47,3,2341.404229394587
42,7,1883.4234687442554
44,8,1643.6485368109238
20,14,2932.86022905991
72,12,2610.7315346350665
47,1,3487.6028634795266
49,4,3089.5869321231467
68,6,2585.3181342240555
19,9,3206.6246629441816
67,0,2477.1520501266214
23,4,1437.6490860073532
63,3,2070.859717600391
53,1,2251.57193375192
45,10,2826.8562330245427
39,0,1446.5398156416722
34,0,1949.8633793916522
61,10,1487.931057382747
32,8,1009.6610349096534
38,10,2952.3429085841044
48,5,2922.326108345266
47,8,1695.113334990329
18,10,2626.833779281677
41,11,2096.7558906970335
36,8,2752.5659101771944
66,14,2230.4340114206484
54,0,3189.9843937551564
67,3,1634.8263845051022
21,13,1834.6151998015262
52,7,2187.894128382985
25,10,3216.0615032406013
65,12,2027.4782889595053
66,10,2903.4983825539384
25,7,3064.4638280681975
51,4,2339.9838710414438
69,4,3116.9570609099555
78,4,3137.5305387959756
56,6,3731.0348712029772
24,9,1908.0546115577313
24,8,2297.448150820337
29,3,2828.7456836164283
40,7,2529.260796470585
65,4,2001.2465413980156
47,7,2674.2088647844103
38,4,1549.3993241561657
55,11,2151.448678116834
56,9,2245.308970597351
58,6,2613.4492866641986
39,7,2755.109578734053
48,5,2116.426054248502
20,14,2275.663619301595
26,11,1572.6719256657245
68,14,2708.9190076745003
23,9,1667.6277963740413
69,7,2956.034861121102
40,14,1263.9698778732434
30,4,1812.229529824263
60,6,2890.7254332173316
33,2,2843.8731821276288
23,13,2456.335688766489
23,12,2406.2306481871346
69,11,3294.3540411496438
62,11,2624.205714094757
33,10,2632.2807051039017
56,13,2722.74634644646
69,2,3718.2310212050297
33,5,1741.0655764643666
72,5,1297.4760726839002
25,4,2825.463383898008
21,0,2516.853515558163
52,4,2830.834465932396
24,0,3123.141439656105
34,13,1075.4712888638344
62,10,3100.4045902425783
29,9,3204.9116888218796
46,3,1956.4814291073856
49,1,2198.542197461104
48,9,3898.1056479520535
59,6,2491.8915345050664
66,9,2736.5998362017517
75,4,2886.2560820310205
68,0,1083.694452789252
58,7,1599.2709444604338
65,4,2332.4370202188793
66,13,3939.4387368884964
57,14,2621.4445308563563
49,11,2776.016613784564
23,1,3510.7364550559664
70,8,4011.851637970887
32,1,2302.4920703623948
31,5,1805.562946415055
49,11,1610.0722962618825
58,9,2772.47130228538
22,10,1836.6083689663203
31,12,2816.3844263569913
54,14,3015.013112372004
19,12,2909.2627097992417
46,6,3234.262800677845
36,2,2518.296509787733
30,12,2057.6638901036486
25,13,2849.8785109030077
73,3,2157.4027707518594
56,11,1987.519631017053
36,14,3328.6912694929442
59,11,1166.175167895502
42,10,2462.7289042544476
67,14,2936.6926087103625
49,3,4080.445805695259
49,9,2277.847714769891
78,7,2863.159538016172
71,11,2706.723323178229
29,4,2334.58478334121
73,11,1564.84850490211
78,5,1968.8500922344592
64,1,2528.670985552636
22,10,2653.812352435586
59,10,1472.9905930699376
42,12,3527.063968832058
79,8,3057.40998775929
66,6,2862.074005284811
25,14,2345.329658939002
20,7,2378.3471681032706
34,12,1768.8890684357768
78,9,3002.177621830937
39,2,1847.270597938192
42,13,1923.622973496855
54,9,3831.355522830141
28,5,1574.0588611833994
69,3,2522.876683432426
39,1,2342.0271550086104
61,13,2394.2444155014387
59,6,1116.4354893284574
44,1,2075.7160659661986
36,9,2347.80607519986
45,0,2084.717247097684
26,7,2909.4347936183526
68,9,2042.5575652932066
50,6,1712.1008514692153
48,10,2577.3428593897233
54,3,2773.2132742363256
77,4,2998.9765029897094
73,2,3047.315057158699
42,7,1316.0928723192808
43,6,2588.697273221699
18,6,2148.5329290967893
76,5,2383.4902985718268
29,2,2170.9107890811874
61,3,2698.432646537277
39,12,3344.441970008505
67,11,3389.20115814396
43,6,705.2127277434049
73,10,2507.920950820802
60,6,3280.478601586645
49,1,2598.8344024539597
29,7,2671.147500139618
68,14,3235.0183678646204
55,7,2788.5017154624807
71,12,2030.4820786989314
21,8,2799.370964481124
72,0,2372.386806312663
71,10,2491.7742767939444
51,13,1987.87112829527
79,2,2952.931491515983
38,10,2750.6022229925393
39,4,2224.3339620966904
20,11,2925.6089956293504
28,10,1895.7040393149844
79,1,2176.765662209139
64,6,2115.3597435358934
28,13,1362.374873731259
71,10,1752.3956178132114
63,12,3146.4862791376595
44,7,1302.4706507924218
50,12,3357.9505445655227
77,2,2496.6675442709775
54,0,2211.651812015594
61,12,2513.155643334542
78,5,2863.3322104021304
19,14,1777.4089965376922
58,2,2778.7269827188816
39,4,2760.798806555399
39,11,2207.395875072136
45,9,1856.7919148330834
78,14,2897.1526654260983
51,12,3083.2976523437833
33,1,2332.2947479512386
39,10,2061.915686810504
76,10,863.4797500670011
79,3,2438.6884248651613
49,0,2914.6576376909957
36,12,2229.6517505526726
57,7,1818.6176615437037
37,2,2135.0266637371456
20,2,2269.745289285101
68,1,2581.9631341126037
56,5,2941.7510190165585
36,9,2842.467098409106
29,7,2842.097538306433
43,3,1494.8545666491896
28,12,3215.9188279586397
30,7,2643.722998543459
32,1,2458.057216126587
34,12,1750.7766639215376
72,8,2884.349511886161
19,8,969.9767710575659
59,0,2700.660033122645
21,14,2288.231303560127
41,13,2315.7232795660157
37,5,2706.95809551714
25,4,3373.134743418294
61,2,2625.079992403671
55,12,2597.447385407152
54,6,3147.2106532715616
68,9,2791.417624781228
59,12,2878.00291032885
65,11,3779.366146785843
49,0,2561.7476223692297
75,2,2943.878670323774
40,7,2707.198156872106
69,3,2115.57763112058
61,12,2532.458881834278
60,7,2103.222308330241
43,3,2729.4023695899145
39,9,1914.1781477431412
30,13,2227.6193927549184
55,8,2246.9002019783093
20,2,1654.0486210009103
78,14,2297.127350699327
57,1,2110.831365914749
52,6,2098.5134649911192
32,10,2540.3557802746136
64,14,3298.582079901382
34,9,2674.656165604529
78,11,2639.3854048855305
27,3,1489.6613883163823
50,14,2684.883080965044
28,8,2519.4250570824775
64,5,1906.0798678928015
71,8,2605.4204964186597
18,8,2129.622732688816
64,0,2232.04114718602
52,9,2531.4225938652
78,13,1316.3407581089937
72,7,2428.7893376682946
47,11,2427.922239379468
32,9,2738.5800666964224
22,6,3451.94392466949
35,10,1820.0156300817212
66,6,1283.9558470356371
60,0,1714.2265671460514
21,10,1511.6003719203986
43,1,2750.8464979129258
74,8,2219.7670950170827
47,10,1290.5118292785246
46,2,2498.910587599555
50,12,2427.7025386330397
55,3,2536.493242285088
74,13,2405.1459958081277
44,10,2809.3686507020802
31,13,1827.9279503041707
57,9,2719.499697210407
75,8,2770.3140250418155
62,0,2328.8682930906275
56,0,2969.053366441256
74,14,1489.6016290160533
74,14,1946.9871298056232
36,10,2911.1893564592265
49,6,1888.6449047079445
52,2,3592.936467872727
29,13,2950.9311506791973
19,8,2748.6134655345404
68,13,2358.149317515654
27,7,2066.6020431775737
76,7,2884.5054104745727
67,10,1685.358344149473
60,0,2412.050013130912
51,14,2765.931489076144
45,7,2130.76964584524
41,5,2113.074538105753
59,4,3336.0011648375016
23,1,2900.2680621808136
59,14,2702.417361204771
54,6,2686.479402837746
71,11,3197.717759262984
53,13,2011.6761171629328
39,11,2224.238765178602
59,9,2742.9875328340268
18,4,1929.5786048169473
21,2,1741.6569664422973
64,12,2056.5467763327297
64,6,1102.756853026109
46,12,2582.2499944985875
29,2,2044.6536709806562
69,8,1387.2376339609516
42,5,2718.0412820441356
38,9,1894.910785502318
47,8,2984.663604949873
36,0,1688.6997583878097
79,10,2287.024948505093
63,3,3374.3444386521205
28,1,3077.151144261037
73,5,3425.605996745751
18,0,3195.7311584422805
26,13,3360.626445106132
76,13,2292.046432897363
69,10,2592.8515800398563
61,14,2312.369192997134
41,10,2912.3610662701694
76,13,3263.585897788359
61,3,2557.3757127370345
62,11,2237.843519426778
41,0,3319.4863822143107
59,8,2232.6606781974506
63,5,2435.842910099897
59,5,1897.1353306184117
77,14,2852.7212247400403
75,1,2819.685181602147
75,5,1872.443489123456
40,12,1992.971890919785
38,7,2087.9244451846007
55,11,1946.301244005292
18,0,1800.3759255183709
26,5,2342.8611149806065
35,11,1651.915122435457
70,12,3495.656749030061
30,11,2789.9329440249744
26,8,2087.4539920309544
36,1,2476.0971100414245
51,2,2639.0441338392116
69,10,1765.9196285938335
44,9,1910.4836659724037
30,3,2767.211050415701
78,5,2736.5837357469773
40,3,1723.1186757242215
64,3,2383.32966412766
74,10,2601.706235268213
51,6,2263.9888454250754
79,10,2172.972950824568
43,11,1375.571978905173
75,13,2059.935295746179
71,0,1803.9495834759923
35,8,3032.802244723893
37,7,3302.110088867647
66,9,2558.2705203642877
71,12,3559.8467936754064
41,2,2075.4681321824155
25,10,2129.6197804006283
79,2,1601.3827133252094
72,6,2547.8231272864336
30,8,3210.981177159132
78,13,2218.361723647372
64,2,2986.416544587598
36,11,2246.897593337964
66,13,1853.2612451998662
53,0,1572.9086070426083
40,5,3636.5204067517516
78,12,3070.2322729225707
46,5,1997.5085072580293
78,7,3007.7420451709004
42,3,2004.7270445420972
55,2,1261.757425885297
40,10,1307.2552368818463
52,8,2499.1742697088175
45,6,2172.774593301409
79,6,3149.37545478708
32,2,2239.2662867392487
75,3,2154.3775674905446
18,12,2320.82114122567
61,0,2867.715685226394
64,12,1723.3665603689267
19,2,1096.9812774452157
18,14,2594.149182353457
26,6,2674.497940092189
64,1,2700.8022850541984
54,10,2604.7131105368912
30,2,2750.698237188325
27,9,3617.146631197815
44,11,2565.6057820802243
22,2,2809.3575442584633
41,9,2604.502890933214
35,5,1954.7404017338097
21,6,2913.4363398533796
46,4,1764.1978731508532
47,6,3359.0524369203313
41,10,2374.8172756225235
70,8,3325.6452112374664
44,1,3791.0065948395263
45,10,1945.440250815677
75,9,3247.7640866321626
34,9,2068.7343457240254
67,2,2960.0037691985976
22,8,2096.436990743843
45,11,2082.818285890219
50,8,1501.4509341531584
77,12,3456.383268630443
56,8,1910.0786866160936
26,5,3269.9370951216915
50,6,3010.594889990326
77,13,2140.0958917729313
28,14,2597.8973919273585
52,14,2553.6462326580904
66,5,1511.2409804049553
71,14,3067.2436900331395
62,13,2304.6942830722837
44,12,2759.1752176914415
25,9,2182.523162937824
50,9,3230.820715025067
35,4,2615.228791885744
76,2,2347.6330888481602
41,7,2325.240329840794
31,6,2227.2075703310397
74,1,1104.4102842626821
59,12,2101.6326501935473
25,1,2147.6232189474536
69,0,1627.1529632499303
26,1,2821.9928432964175
69,7,2190.3389580675453
63,9,1208.6042753700913
51,7,3041.4615252690755
75,0,3294.794573507146
50,1,2857.7131088356477
69,6,3194.3990841071213
70,3,2862.2456860405346
41,14,3089.306819851924
37,1,2277.735015720318
30,2,2620.901490050086
59,1,2211.7211354170777
61,1,2564.063772730286
79,12,1717.4180315583208
37,14,2647.005354446043
73,6,1744.7135983261678
40,8,2417.715147770709
50,12,2049.726990248422
78,3,3176.351777409831
29,6,3107.636175450075
79,7,2376.201731399241
23,10,2915.033610095758
58,4,2274.265653885893
51,7,2035.0380935047515
57,2,1963.0332194948487
28,14,3060.773251741491
19,3,2780.897201467147
62,4,2362.304476036097
67,8,2611.6275255696637
39,12,3353.3516010494727
19,10,1947.444489562035
28,0,2131.632884080833
42,10,2805.2300121087037
46,2,1705.1056908440278
51,4,2922.7518837721045
64,12,2722.430746383012
26,7,3341.685461612685
28,1,2730.4102501501575
72,9,2417.3118472579117
69,7,2359.2738334905716
31,4,2120.9650902288936
27,0,2459.389799543979
66,3,1747.328135339948
72,9,3604.3812436951694
38,4,2232.454468855094
51,5,2725.6687579987497
70,8,2906.0029638060096
68,13,2432.076723083236
26,5,3999.7513238924994
31,8,2037.3964416381923
77,2,2684.321010309205
79,2,2256.483729855252
64,6,2951.8984539318853
75,6,2226.910187818394
76,5,1237.5814691725318
50,8,3083.510129110566
35,12,1485.4282268118786
71,13,2037.5578355423954
29,6,1970.0762565520877
41,3,2021.3328856736312
47,1,2732.6261201627062
22,9,2418.7405306998558
70,10,2296.096225808362
20,3,2436.1312097512696
76,8,2290.1569512271485
58,0,2380.985074652497
71,12,2719.6819190244023
20,1,2728.378165692496
43,12,1562.190009002422
28,3,2160.3164215859397
21,1,2729.7356072090465
23,14,1785.998177176456
33,8,2631.1210181850347
41,4,1879.6405641865356
47,4,3795.539750178744
20,2,3029.1688512264886
38,10,3166.55797070022
20,8,1754.5692994408569
24,9,2468.311061960399
69,1,3291.791962449319
76,5,2513.5956655141945
51,0,2897.279060545255
34,12,2813.844745187688
48,11,3257.698372061037
63,14,2843.4627212482055
27,6,1627.4506344158951
35,2,2667.1882970930405
78,6,2326.886202264318
69,8,1593.2486465281045
52,13,1793.5299043061477
62,13,1452.4553864553804
59,10,2381.9168114244985
21,8,1857.3910746626893
43,5,1927.9252031410174
64,13,2316.059585213974
69,4,2381.621438548995
53,13,2966.925214371252
53,3,2771.8397266020784
52,14,2057.032242893839
71,9,2073.237849930844
58,4,1678.6352921464998
20,8,3222.565381772216
44,9,2490.5045322536002
39,4,2497.3695697641692
53,4,3286.341213858289
51,4,3349.3856426092234
77,9,1795.5067860790973
63,5,2546.326426478923
77,1,2378.5639286490405
52,7,2210.350776996357
62,4,3111.409626697104
69,14,1926.0017032477251
52,10,2407.1935653135274
61,2,1945.1814362846312
77,9,3001.881236567938
32,3,2962.8127089907457
64,5,1661.9265942950233
38,1,3208.968093077041
27,10,1985.5692470867875
57,8,2061.873436082396
37,0,2722.675391337027
37,14,3956.768311189531
59,4,1201.7652614070114
29,0,918.1218970053374
36,14,1759.0389549860852
49,6,2769.1559534470543
23,12,3021.1998952144622
33,4,3569.1244467644356
56,0,2608.765152705153
34,5,1723.245153046842
26,0,2215.504290018947
69,9,1824.137848686405
61,0,2118.362063839048
68,8,2392.644867312946
30,3,2652.110429761545
52,2,2064.7253343119655
29,0,3186.526336756826
77,11,2341.389654855311
53,9,2505.7089806205972
47,1,2516.474787588267
51,0,2849.630496626066
42,14,3796.1368289589623
54,13,2728.90113409714
27,1,1577.149505580811
52,9,2339.0883367605134
20,8,2332.793599897039
59,0,2801.397203278166
21,8,2471.2263125704626
58,9,3449.8936824187817
34,12,2837.3243573253744
75,3,2058.2752743367746
51,1,3505.6894114967827
35,1,1965.7277193317298
46,3,2655.5054844886185
19,10,3446.555772944043
74,3,2617.7030293967787
56,10,2514.3937299451118
64,3,2408.0253037962407
38,7,2444.581633421191
46,6,3422.229597587421
26,7,1704.1703810049426
32,9,2185.639540309376
47,11,2351.293651434706
58,6,2731.114562833268
52,0,2623.664813784241
66,13,1747.4940972250474
52,5,3362.8971278466
25,12,745.0112243763392
47,10,2084.303055573425
39,5,2713.830703972598
47,5,2746.3253432370166
57,1,2416.8394871430296
50,11,2801.413353839445
77,12,2657.595539680012
29,4,3175.8240158490707
67,10,2461.1246400465657
49,6,2859.488324850675
48,4,1780.6448377508916
40,2,3003.580385948084
60,12,3558.8437506191713
27,8,1984.6978043814688
19,11,2617.79070471963
30,14,2954.114920125196
40,11,3041.3388526996773
32,4,2235.002951807088
66,7,2330.495541248863
27,7,2961.82536161006
61,5,2307.94533291057
25,5,2626.084100120379
65,1,2419.9882358326613
69,9,3041.2619075987695
65,11,2501.0994433739156
36,4,2813.341852331604
71,0,2854.1960979700875
29,11,2451.926688031416
40,7,2629.886041712583
75,12,2311.0156333111954
40,11,2222.611256350454
23,11,1831.3911075581566
59,12,2716.3371392292047
25,8,3040.699969630159
68,13,2460.5170477306874
69,3,1545.8282209746912
44,12,2387.3058193877714
70,11,2186.7007237146904
42,8,2445.431893625237
48,14,2280.253548803891
51,1,2902.0194822396265
50,13,1587.6164342654615
28,0,2049.170362858411
54,5,2578.2031967465737
60,7,2222.378925825279
28,9,2051.025445410114
54,2,1209.837500647084
65,9,2497.4478947765765
59,4,2775.509452598118
73,11,3845.550073986426
67,14,2583.12312371584
19,5,2166.9209289204014
36,6,1401.8395226219536
45,0,2439.067649781752
68,6,2882.8701529518703
47,10,1992.4803681833102
36,1,1810.140192104488
20,3,3693.6620367826436
49,10,2922.1919503736913
21,9,2374.8908096264086
55,10,1354.6279273817775
21,6,1215.0170321683083
